time_sec;time_min;FHR_bpm;Toco_value
0.000;0.000;150.0;47.9
1.000;0.017;150.1;50.8
2.000;0.033;150.2;47.5
3.000;0.050;150.2;46.9
4.000;0.067;150.2;48.3
5.000;0.083;150.0;48.5
6.000;0.100;149.7;48.5
7.000;0.117;149.2;47.2
8.000;0.133;148.5;44.2
9.000;0.150;147.8;39.8
10.000;0.167;147.2;35.3
11.000;0.183;146.8;33.0
12.000;0.200;146.4;32.8
13.000;0.217;145.9;29.3
14.000;0.233;145.4;30.8
15.000;0.250;145.1;30.6
16.000;0.267;145.0;30.9
17.000;0.283;145.2;32.2
18.000;0.300;145.7;34.5
19.000;0.317;146.1;37.9
20.000;0.333;146.4;41.6
21.000;0.350;146.8;45.4
22.000;0.367;147.2;45.6
23.000;0.383;147.8;44.6
24.000;0.400;148.4;43.1
25.000;0.417;148.8;47.0
26.000;0.433;149.2;50.5
27.000;0.450;149.3;49.9
28.000;0.467;149.3;47.2
29.000;0.483;149.4;43.5
30.000;0.500;149.4;39.5
31.000;0.517;149.3;37.1
32.000;0.533;149.1;37.0
33.000;0.550;149.0;39.3
34.000;0.567;148.9;40.1
35.000;0.583;148.7;36.6
36.000;0.600;148.4;33.0
37.000;0.617;147.9;33.8
38.000;0.633;147.1;37.2
39.000;0.650;146.1;40.7
40.000;0.667;145.0;44.3
41.000;0.683;143.8;48.9
42.000;0.700;142.8;54.8
43.000;0.717;142.2;56.9
44.000;0.733;141.7;57.0
45.000;0.750;141.5;59.9
46.000;0.767;141.4;62.9
47.000;0.783;141.6;63.8
48.000;0.800;141.9;63.5
49.000;0.817;142.5;63.2
50.000;0.833;143.4;66.6
51.000;0.850;144.2;65.2
52.000;0.867;144.8;62.7
53.000;0.883;145.1;61.8
54.000;0.900;145.3;62.6
55.000;0.917;145.6;66.2
56.000;0.933;145.9;67.0
57.000;0.950;146.2;67.3
58.000;0.967;146.4;66.8
59.000;0.983;146.8;62.2
60.000;1.000;147.2;56.7
61.000;1.017;147.5;54.1
62.000;1.033;147.8;53.4
63.000;1.050;148.2;52.9
64.000;1.067;148.4;49.0
65.000;1.083;148.5;43.0
66.000;1.100;148.4;41.5
67.000;1.117;148.4;41.4
68.000;1.133;148.3;43.8
69.000;1.150;148.1;47.2
70.000;1.167;147.7;50.6
71.000;1.183;147.3;52.4
72.000;1.200;147.0;52.3
73.000;1.217;146.8;51.4
74.000;1.233;146.7;51.4
75.000;1.250;146.5;50.5
76.000;1.267;146.4;50.5
77.000;1.283;146.3;50.1
78.000;1.300;146.3;46.4
79.000;1.317;146.5;43.1
80.000;1.333;146.7;40.8
81.000;1.350;147.0;40.6
82.000;1.367;147.1;41.4
83.000;1.383;147.2;44.1
84.000;1.400;147.3;47.3
85.000;1.417;147.6;49.9
86.000;1.433;147.9;46.7
87.000;1.450;148.2;44.6
88.000;1.467;148.3;44.4
89.000;1.483;148.3;45.2
90.000;1.500;148.2;45.7
91.000;1.517;148.0;45.8
92.000;1.533;148.0;45.8
93.000;1.550;148.0;45.1
94.000;1.567;147.9;41.7
95.000;1.583;147.8;40.0
96.000;1.600;147.7;40.1
97.000;1.617;147.5;40.4
98.000;1.633;147.4;40.9
99.000;1.650;147.2;42.4
100.000;1.667;147.2;42.3
101.000;1.683;147.2;41.1
102.000;1.700;147.2;37.9
103.000;1.717;147.3;36.7
104.000;1.733;147.3;36.7
105.000;1.750;147.5;36.8
106.000;1.767;147.6;36.7
107.000;1.783;147.8;37.3
108.000;1.800;148.0;39.3
109.000;1.817;148.3;37.8
110.000;1.833;148.6;34.5
111.000;1.850;149.0;33.5
112.000;1.867;149.4;33.5
113.000;1.883;149.8;33.5
114.000;1.900;150.2;33.6
115.000;1.917;150.6;33.6
116.000;1.933;151.0;37.3
117.000;1.950;151.3;40.4
118.000;1.967;151.6;38.0
119.000;1.983;151.8;37.5
120.000;2.000;152.0;40.8
121.000;2.017;152.1;44.3
122.000;2.033;152.0;46.5
123.000;2.050;151.9;46.5
124.000;2.067;151.8;48.7
125.000;2.083;151.7;52.1
126.000;2.100;151.7;49.0
127.000;2.117;151.7;49.0
128.000;2.133;151.8;52.3
129.000;2.150;151.9;54.4
130.000;2.167;151.9;54.5
131.000;2.183;152.0;54.5
132.000;2.200;152.1;57.0
133.000;2.217;152.3;60.5
134.000;2.233;152.4;60.4
135.000;2.250;152.5;60.3
136.000;2.267;152.4;60.3
137.000;2.283;152.3;60.3
138.000;2.300;152.2;60.3
139.000;2.317;152.0;60.2
140.000;2.333;152.0;59.9
141.000;2.350;152.0;59.6
142.000;2.367;152.0;59.3
143.000;2.383;151.9;59.1
144.000;2.400;152.0;59.0
145.000;2.417;152.1;58.9
146.000;2.433;152.2;58.9
147.000;2.450;152.2;58.9
148.000;2.467;152.3;58.9
149.000;2.483;152.5;59.0
150.000;2.500;152.5;59.1
151.000;2.517;152.3;59.3
152.000;2.533;151.9;59.5
153.000;2.550;151.2;59.7
154.000;2.567;150.5;59.9
155.000;2.583;149.8;60.1
156.000;2.600;149.3;60.4
157.000;2.617;148.9;60.6
158.000;2.633;148.5;60.9
159.000;2.650;148.2;61.2
160.000;2.667;147.9;61.5
161.000;2.683;147.9;61.9
162.000;2.700;148.1;62.2
163.000;2.717;148.5;62.4
164.000;2.733;148.9;62.7
165.000;2.750;149.2;63.0
166.000;2.767;149.5;63.3
167.000;2.783;149.6;63.5
168.000;2.800;149.7;63.8
169.000;2.817;149.8;64.0
170.000;2.833;150.0;64.7
171.000;2.850;150.2;65.0
172.000;2.867;150.3;65.2
173.000;2.883;150.5;65.4
174.000;2.900;150.6;65.7
175.000;2.917;150.6;66.0
176.000;2.933;150.5;66.6
177.000;2.950;150.5;67.0
178.000;2.967;150.5;67.4
179.000;2.983;150.6;67.5
180.000;3.000;150.5;67.5
181.000;3.017;150.3;67.6
182.000;3.033;150.1;67.9
183.000;3.050;150.2;68.0
184.000;3.067;150.2;68.1
185.000;3.083;150.4;68.1
186.000;3.100;150.4;68.2
187.000;3.117;150.4;68.3
188.000;3.133;150.4;68.4
189.000;3.150;150.4;68.3
190.000;3.167;150.6;68.1
191.000;3.183;150.9;67.9
192.000;3.200;151.1;67.5
193.000;3.217;151.3;66.8
194.000;3.233;151.5;66.4
195.000;3.250;151.7;65.9
196.000;3.267;152.0;65.4
197.000;3.283;152.3;65.0
198.000;3.300;152.5;64.7
199.000;3.317;152.7;64.6
200.000;3.333;152.8;64.4
201.000;3.350;152.9;64.1
202.000;3.367;153.0;63.9
203.000;3.383;153.0;63.8
204.000;3.400;152.8;63.3
205.000;3.417;152.5;62.9
206.000;3.433;152.2;62.5
207.000;3.450;151.7;62.2
208.000;3.467;151.4;62.0
209.000;3.483;151.1;61.8
210.000;3.500;151.0;61.9
211.000;3.517;150.8;62.3
212.000;3.533;150.4;62.8
213.000;3.550;150.0;63.5
214.000;3.567;149.7;64.2
215.000;3.583;149.6;65.0
216.000;3.600;149.6;65.7
217.000;3.617;149.7;66.1
218.000;3.633;149.6;65.9
219.000;3.650;149.5;65.3
220.000;3.667;149.3;64.8
221.000;3.683;149.1;64.3
222.000;3.700;149.3;63.7
223.000;3.717;149.6;62.7
224.000;3.733;150.0;61.4
225.000;3.750;150.1;59.9
226.000;3.767;150.2;58.6
227.000;3.783;150.4;57.8
228.000;3.800;150.7;57.5
229.000;3.817;151.1;57.5
230.000;3.833;151.5;57.4
231.000;3.850;152.0;57.0
232.000;3.867;152.0;56.9
233.000;3.883;151.9;57.0
234.000;3.900;151.9;57.4
235.000;3.917;151.9;56.2
236.000;3.933;152.0;53.3
237.000;3.950;152.1;51.5
238.000;3.967;152.0;51.4
239.000;3.983;151.9;48.4
240.000;4.000;151.6;45.4
241.000;4.017;151.5;43.0
242.000;4.033;151.6;42.3
243.000;4.050;151.7;42.4
244.000;4.067;151.8;40.4
245.000;4.083;151.8;40.0
246.000;4.100;151.8;42.8
247.000;4.117;151.7;43.8
248.000;4.133;151.5;43.7
249.000;4.150;151.3;45.0
250.000;4.167;151.2;46.0
251.000;4.183;151.2;44.7
252.000;4.200;151.0;41.9
253.000;4.217;150.8;39.5
254.000;4.233;150.5;42.4
255.000;4.250;150.2;43.9
256.000;4.267;149.8;41.9
257.000;4.283;149.6;39.2
258.000;4.300;149.5;38.5
259.000;4.317;149.5;36.2
260.000;4.333;149.7;36.3
261.000;4.350;149.7;37.1
