time_sec;time_min;FHR_bpm
0.0;0.0;150.0
1.0;0.017;150.1
2.0;0.033;150.2
3.0;0.05;150.2
4.0;0.067;150.2
5.0;0.083;150.0
6.0;0.1;149.7
7.0;0.117;149.2
8.0;0.133;148.5
9.0;0.15;147.8
10.0;0.167;147.2
11.0;0.183;146.8
12.0;0.2;146.4
13.0;0.217;145.9
14.0;0.233;145.4
15.0;0.25;145.1
16.0;0.267;145.0
17.0;0.283;145.2
18.0;0.3;145.7
19.0;0.317;146.1
20.0;0.333;146.4
21.0;0.35;146.8
22.0;0.367;147.2
23.0;0.383;147.8
24.0;0.4;148.4
25.0;0.417;148.8
26.0;0.433;149.2
27.0;0.45;149.3
28.0;0.467;149.3
29.0;0.483;149.4
30.0;0.5;149.4
31.0;0.517;149.3
32.0;0.533;149.1
33.0;0.55;149.0
34.0;0.567;148.9
35.0;0.583;148.7
36.0;0.6;148.4
37.0;0.617;147.9
38.0;0.633;147.1
39.0;0.65;146.1
40.0;0.667;145.0
41.0;0.683;143.8
42.0;0.7;142.8
43.0;0.717;142.2
44.0;0.733;141.7
45.0;0.75;141.5
46.0;0.767;141.4
47.0;0.783;141.6
48.0;0.8;141.9
49.0;0.817;142.5
50.0;0.833;143.4
51.0;0.85;144.2
52.0;0.867;144.8
53.0;0.883;145.1
54.0;0.9;145.3
55.0;0.917;145.6
56.0;0.933;145.9
57.0;0.95;146.2
58.0;0.967;146.4
59.0;0.983;146.8
60.0;1.0;147.2
61.0;1.017;147.5
62.0;1.033;147.8
63.0;1.05;148.2
64.0;1.067;148.4
65.0;1.083;148.5
66.0;1.1;148.4
67.0;1.117;148.4
68.0;1.133;148.3
69.0;1.15;148.1
70.0;1.167;147.7
71.0;1.183;147.3
72.0;1.2;147.0
73.0;1.217;146.8
74.0;1.233;146.7
75.0;1.25;146.5
76.0;1.267;146.4
77.0;1.283;146.3
78.0;1.3;146.3
79.0;1.317;146.5
80.0;1.333;146.7
81.0;1.35;147.0
82.0;1.367;147.1
83.0;1.383;147.2
84.0;1.4;147.3
85.0;1.417;147.6
86.0;1.433;147.9
87.0;1.45;148.2
88.0;1.467;148.3
89.0;1.483;148.3
90.0;1.5;148.2
91.0;1.517;148.0
92.0;1.533;148.0
93.0;1.55;148.0
94.0;1.567;147.9
95.0;1.583;147.8
96.0;1.6;147.7
97.0;1.617;147.5
98.0;1.633;147.4
99.0;1.65;147.2
100.0;1.667;147.2
101.0;1.683;147.2
102.0;1.7;147.2
103.0;1.717;147.3
104.0;1.733;147.3
105.0;1.75;147.5
106.0;1.767;147.6
107.0;1.783;147.8
108.0;1.8;148.0
109.0;1.817;148.3
110.0;1.833;148.6
