time_sec;time_min;Toco_value
0.0;0.0;47.9
1.0;0.017;50.8
2.0;0.033;47.5
3.0;0.05;46.9
4.0;0.067;48.3
5.0;0.083;48.5
6.0;0.1;48.5
7.0;0.117;47.2
8.0;0.133;44.2
9.0;0.15;39.8
10.0;0.167;35.3
11.0;0.183;33.0
12.0;0.2;32.8
13.0;0.217;29.3
14.0;0.233;30.8
15.0;0.25;30.6
16.0;0.267;30.9
17.0;0.283;32.2
18.0;0.3;34.5
19.0;0.317;37.9
20.0;0.333;41.6
21.0;0.35;45.4
22.0;0.367;45.6
23.0;0.383;44.6
24.0;0.4;43.1
25.0;0.417;47.0
26.0;0.433;50.5
27.0;0.45;49.9
28.0;0.467;47.2
29.0;0.483;43.5
30.0;0.5;39.5
31.0;0.517;37.1
32.0;0.533;37.0
33.0;0.55;39.3
34.0;0.567;40.1
35.0;0.583;36.6
36.0;0.6;33.0
37.0;0.617;33.8
38.0;0.633;37.2
39.0;0.65;40.7
40.0;0.667;44.3
41.0;0.683;48.9
42.0;0.7;54.8
43.0;0.717;56.9
44.0;0.733;57.0
45.0;0.75;59.9
46.0;0.767;62.9
47.0;0.783;63.8
48.0;0.8;63.5
49.0;0.817;63.2
50.0;0.833;66.6
51.0;0.85;65.2
52.0;0.867;62.7
53.0;0.883;61.8
54.0;0.9;62.6
55.0;0.917;66.2
56.0;0.933;67.0
57.0;0.95;67.3
58.0;0.967;66.8
59.0;0.983;62.2
60.0;1.0;56.7
61.0;1.017;54.1
62.0;1.033;53.4
63.0;1.05;52.9
64.0;1.067;49.0
65.0;1.083;43.0
66.0;1.1;41.5
67.0;1.117;41.4
68.0;1.133;43.8
69.0;1.15;47.2
70.0;1.167;50.6
71.0;1.183;52.4
72.0;1.2;52.3
73.0;1.217;51.4
74.0;1.233;51.4
75.0;1.25;50.5
76.0;1.267;50.5
77.0;1.283;50.1
78.0;1.3;46.4
79.0;1.317;43.1
80.0;1.333;40.8
81.0;1.35;40.6
82.0;1.367;41.4
83.0;1.383;44.1
84.0;1.4;47.3
85.0;1.417;49.9
86.0;1.433;46.7
87.0;1.45;44.6
88.0;1.467;44.4
89.0;1.483;45.2
90.0;1.5;45.7
91.0;1.517;45.8
92.0;1.533;45.8
93.0;1.55;45.1
94.0;1.567;41.7
95.0;1.583;40.0
96.0;1.6;40.1
97.0;1.617;40.4
98.0;1.633;40.9
99.0;1.65;42.4
100.0;1.667;42.3
101.0;1.683;41.1
102.0;1.7;37.9
103.0;1.717;36.7
104.0;1.733;36.7
105.0;1.75;36.8
106.0;1.767;36.7
107.0;1.783;37.3
108.0;1.8;39.3
109.0;1.817;37.8
110.0;1.833;34.5
111.0;1.85;33.5
112.0;1.867;33.5
113.0;1.883;33.5
114.0;1.9;33.6
115.0;1.917;33.6
116.0;1.933;37.3
117.0;1.95;40.4
118.0;1.967;38.0
119.0;1.983;37.5
120.0;2.0;40.8
121.0;2.017;44.3
122.0;2.033;46.5
123.0;2.05;46.5
124.0;2.067;48.7
125.0;2.083;52.1
126.0;2.1;49.0
127.0;2.117;49.0
128.0;2.133;52.3
129.0;2.15;54.4
130.0;2.167;54.5
131.0;2.183;54.5
132.0;2.2;57.0
133.0;2.217;60.5
134.0;2.233;60.4
135.0;2.25;60.3
136.0;2.267;60.3
137.0;2.283;60.3
138.0;2.3;60.3
139.0;2.317;60.2
140.0;2.333;59.9
141.0;2.35;59.6
142.0;2.367;59.3
143.0;2.383;59.1
144.0;2.4;59.0
145.0;2.417;58.9
146.0;2.433;58.9
147.0;2.45;58.9
148.0;2.467;58.9
149.0;2.483;59.0
150.0;2.5;59.1
151.0;2.517;59.3
152.0;2.533;59.5
153.0;2.55;59.7
154.0;2.567;59.9
